UserID,YOB,Gender,Happy,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120194,Q120012,Q120014,Q119334,Q119851,Q118892,Q118117,Q118233,Q118237,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q115602,Q115610,Q115611,Hardship,Q115390,Q114961,Q114748,Q115195,Q114517,Q113992,Q114152,Q113583,Q113181,Q112478,Q112512,Q112270,Q111848,Q111220,Q109367,Q109244,Q108617,Q108754,Q108343,Q107869,Q107491,Q106993,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q101162,Q101596,Q100689,Q100680,Q100562,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
1,1938,1,1,0,,0,0,0,1,0,1,0,,0,0,1,1,0,0,,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,Talk,0,0,1,,0,0,0,0,0,0,,1,0,1,1,0,1,1,,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,,0,,0,0,0,1,86
2,1985,0,1,,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,,0,Tunes,1,1,0,1,1,0,1,1,,1,1,,,,,,,,,,,,,,,,,,0,1,1,,,,,1,,,,,,66
5,1963,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,Talk,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,101
6,1997,1,1,,1,1,0,,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,Tunes,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,98
7,1996,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,,1,0,0,1,1,0,0,,0,1,1,0,0,1,Tunes,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,98
8,1991,0,1,1,1,0,,,,1,1,1,0,1,1,0,1,1,,1,0,0,1,0,0,,1,1,1,0,0,0,,0,1,0,1,1,0,0,0,0,Tunes,1,,1,0,1,1,,,1,,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,,1,0,,,83
9,1995,1,1,,,,,,,,0,0,0,1,0,1,1,0,1,0,1,,,,,,,1,,,,,,,,1,0,1,1,0,0,0,Tunes,1,0,1,0,,,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,68
11,1983,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,Talk,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,101
12,1984,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,Tunes,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,101
13,1997,0,0,,,,,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,44
15,1996,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Tunes,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,101
17,1980,0,0,,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,,Tunes,0,1,1,,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,98
18,1981,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,Tunes,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,101
19,1971,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,1,1,1,0,,,,,,0,1,0,,,,,0,0,0,1,,,,,1,0,1,0,0,1,0,1,1,1,,,,,1,30
20,1977,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Tunes,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,101
21,1971,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,Tunes,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,101
22,1996,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,Tunes,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,,0,0,1,0,0,0,1,0,1,1,0,0,1,100
24,1979,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,Talk,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,101
25,1997,0,1,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,0,0,0,,,,0,1,0,1,0,,1,,,,,,1,,0,,,,1,,1,1,,0,,,,0,1,1,,0,,,,0,1,,0,1,34
26,1976,1,0,,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,Talk,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,100
27,1982,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,,0,1,1,1,0,1,1,1,0,1,0,0,1,Tunes,,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,99
28,1973,1,1,0,1,0,1,,0,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,,,1,1,1,0,1,0,Talk,0,1,1,,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,93
30,1970,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,,Talk,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,100
31,1973,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,,1,1,0,0,1,0,1,0,1,0,Talk,0,1,1,0,1,0,1,0,0,0,1,,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,99
32,1968,0,0,,,,,,,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,Talk,,,,,,1,,,,,1,,1,,1,0,,1,,,1,,1,1,1,0,,1,1,1,1,1,,0,1,1,,1,0,1,,35
35,1993,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Tunes,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,101
36,1951,0,0,,0,0,1,0,0,0,1,0,0,0,1,1,,0,,0,1,1,0,0,1,1,1,,1,1,0,1,1,0,1,1,1,1,1,0,0,0,Talk,0,0,0,0,1,0,1,1,0,0,1,,1,0,0,0,1,1,1,0,0,1,0,1,1,0,,0,,,,1,0,0,1,0,0,1,0,0,0,87
38,1996,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,Tunes,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,101
39,1977,0,1,0,0,0,1,,0,0,0,0,1,0,0,1,0,,1,0,0,1,1,0,0,0,1,1,1,0,0,,1,0,1,0,0,1,0,1,0,1,Tunes,,1,1,0,1,0,0,,0,0,0,0,1,1,1,0,0,0,1,0,1,,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,,1,90
40,1961,1,1,,1,0,1,,,,1,0,0,0,0,1,,,,,,,0,0,0,,1,0,,,,1,1,1,,0,1,1,1,,1,0,,0,1,,,,0,0,0,,,,1,,1,1,,,1,,,0,0,,,,0,1,,0,0,1,1,0,,,,0,1,,,,51
41,1979,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,Talk,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,101
42,1942,1,1,0,0,0,0,,0,,,,0,,1,1,0,1,,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,,0,1,1,Tunes,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,,0,1,,1,0,0,1,1,1,1,1,1,1,89
43,1979,0,1,,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,Tunes,0,1,1,0,0,0,1,0,,,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,97
44,1968,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,0,0,1,1,1,1,Talk,1,0,0,1,0,0,1,,,,,,1,1,1,0,0,1,1,1,1,0,0,,,0,,,,,,,,,,,,,,,0,37
46,1992,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,Tunes,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,101
48,1971,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,,,,,,,0,0,1,0,0,0,0,0,0,0,1,Tunes,1,1,1,0,1,,1,0,0,0,0,,,,,,,1,1,1,0,1,0,0,0,1,1,1,1,0,,,,0,1,1,0,1,1,1,1,79
49,1969,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,Talk,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,101
50,1997,1,1,,1,0,,,,0,,,1,0,,1,1,,,,0,,0,,0,,1,0,1,,0,,,1,,1,1,,0,,,,,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,1,,36
