"","UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Happy","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","StartTask","Q120012","Successful","Accomplish","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Over_Head","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Positive_Thinking","Q115611","Hardship","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Gamble","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Normal","Q107491","Q106993","Q106997","Q106272","Q106388","Liar","Q106042","Q105840","Q105655","Q104996","Q103293","Grudge","CCDebt","Breakfast","Adventurous","Q102089","Optimist","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Live_Alone","Q99581","Q99480","LifeHasPurpose","Q98578","Q98059","Q98078","Q98197","Q96024","votes"
"1",1,1938,2,4,4,2,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,2,86
"2",2,1985,1,2,5,7,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,66
"3",5,1963,2,5,4,1,2,0,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,101
"4",6,1997,2,4,5,6,5,1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,98
"5",7,1996,2,3,5,3,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,98
"6",8,1991,1,6,5,4,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,83
"7",9,1995,2,4,5,3,5,1,2,2,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,2,2,68
"8",11,1983,2,1,4,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,101
"9",12,1984,1,3,4,6,5,0,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,101
"10",13,1997,1,5,5,3,1,0,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,44
"11",15,1996,2,4,5,3,5,0,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,101
"12",17,1980,1,6,3,4,2,0,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,98
"13",18,1981,1,3,4,2,5,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,1,101
"14",19,1971,2,5,3,2,3,0,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,30
"15",20,1977,1,1,1,2,3,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,101
"16",21,1971,2,3,4,6,2,1,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,101
"17",22,1996,2,4,5,3,3,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,100
"18",24,1979,2,5,4,2,5,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,2,101
"19",25,1997,1,4,5,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,34
"20",26,1976,2,3,3,2,1,0,1,1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,100
"21",27,1982,1,2,5,7,2,0,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,99
"22",28,1973,2,4,4,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,93
"23",30,1970,2,5,2,7,1,1,2,2,1,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,100
"24",31,1973,2,5,3,7,1,0,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,99
"25",32,1968,1,3,5,2,1,0,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,35
"26",35,1993,2,4,5,4,5,0,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,1,2,2,1,1,101
"27",36,1951,1,3,4,7,1,0,2,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,87
"28",38,1996,2,5,5,3,1,0,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,101
"29",39,1977,1,2,5,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,90
"30",40,1961,2,5,1,6,5,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,51
"31",41,1979,1,4,5,6,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,101
"32",42,1942,2,1,4,7,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,89
"33",43,1979,1,2,4,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,1,1,1,97
"34",44,1968,2,3,3,3,5,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,1,37
"35",46,1992,2,1,5,4,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,101
"36",48,1971,2,1,4,6,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,79
"37",49,1969,1,1,4,7,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,101
"38",50,1997,2,5,4,3,5,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,36
"39",51,1980,2,2,3,2,2,0,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,97
"40",56,1976,2,2,6,6,5,0,2,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,78
"41",57,1961,1,1,4,3,2,0,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1,100
